Estudios,Rama,Universidad,Campus,Créditos,Coordinador
GRADO EN BELLAS ARTES,Artes y Humanidades,UCM,CAMPUS DE CIUDAD UNIVERSITARIA,240,Carmen González Castro
GRADO EN FILOSOFIA,Artes y Humanidades,UCM,CAMPUS DE CIUDAD UNIVERSITARIA,240,Juan Antonio Fernández Manzano
MASTER EN FISICA NUCLEAR,Ciencias,UCM,CAMPUS DE CIUDAD UNIVERSITARIA,60,Paula Beatriz Ibáñez García
GRADO EN LOGOPEDIA,Ciencias de la Salud,UCM,CAMPUS DE SOMOSAGUAS,240,Estíbaliz Terradillos Azpiroz
GRADO EN PSICOLOGIA,Ciencias de la Salud,UCM,CAMPUS DE SOMOSAGUAS,240,Jesús Saiz Galdós
MASTER EN INTERVENCION LOGOPEDICA,Ciencias de la Salud,UCM,CAMPUS DE SOMOSAGUAS,60,Silvia Nieva Ramos
MASTER EN PSICOFARMACOLOGIA Y DROGAS DE ABUSO,Ciencias de la Salud,UCM,CAMPUS DE SOMOSAGUAS,60,Raquel Gómez de Heras
GRADO EN ARQUITECTURA,Ingeniería y Arquitectura,UPM,CAMPUS CIUDAD UNIVERSITARIA,300,Javier Fco. Raposo Grau
GRADO EN INGENIERIA AEROESPACIAL,Ingeniería y Arquitectura,UPM,CAMPUS CIUDAD UNIVERSITARIA,240,Gustavo Alonso Rodrigo
MASTER EN BIOLOGIA COMPUTACIONAL,Ciencias,UPM,CAMPUS CIUDAD UNIVERSITARIA,60,María Garrido Arandia
GRADO EN INGENIERIA INFORMATICA,Ingeniería y Arquitectura,UPM,CAMPUS MONTEGANCEDO,240,Javier López de la Cruz
GRADO EN CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Ingeniería y Arquitectura,UPM,CAMPUS MONTEGANCEDO,240,Félix José Fuentes Hurtado
MASTER EN INTELIGENCIA ARTIFICIAL,Ingeniería y Arquitectura,UPM,CAMPUS MONTEGANCEDO,60,Javier Bajo Pérez
GRADO EN INGENIERIA DEL SOFTWARE,Ingeniería y Arquitectura,UPM,CAMPUS SUR,240,José Antonio Calvo-Manzano Villalón
GRADO EN INGENIERIA GEOMATICA,Ingeniería y Arquitectura,UPM,CAMPUS SUR,240,Yolanda Torres Fernández
MASTER EN CIBERSEGURIDAD,Ingeniería y Arquitectura,UPM,CAMPUS SUR,60,Juan Manuel Montero Martínez
GRADO EN CRIMINOLOGIA,Ciencias Sociales y Jurídicas,URJC,CAMPUS DE ALCORCON,240,Marina Sanz
GRADO EN NEUROCIENCIA COGNITIVA Y NEUROPSICOLOGIA,Ciencias de la Salud,URJC,CAMPUS DE ALCORCON,60,Francisco Mercado Romero
GRADO EN BELLAS ARTES,Artes y Humanidades,URJC,CAMPUS DE ARANJUEZ,240,Marta Linaza
GRADO EN CIENCIA E INGENIERIA DE DATOS,Ingeniería y Arquitectura,URJC,CAMPUS DE FUENLABRADA,240,José Felipe Ortega Soto
GRADO EN INGENIERIA INFORMATICA,Ingeniería y Arquitectura,URJC,CAMPUS DE MOSTOLES,240,María Dolores Cuadra Fernández
MASTER EN ANALISIS DE DATOS DEPORTIVOS,Ingeniería y Arquitectura,URJC,CAMPUS DE MOSTOLES,60,Isaac Martín de Diego
GRADO EN DERECHO,Ciencias Sociales y Jurídicas,URJC,CAMPUS DE VICALVARO,240,María Palma Álvarez Pozo
MASTER EN GESTION DEL MERCADO DEL ARTE,Artes y Humanidades,URJC,CAMPUS DE VICALVARO,60,Susana María Romero Sanz
GRADO EN CIENCIA E INGENIERIA DE DATOS,Ingeniería y Arquitectura,UC3M,CAMPUS DE LEGANES,240,Fernando Díaz de María
GRADO EN INGENIERIA BIOMEDICA,Ingeniería y Arquitectura,UC3M,CAMPUS DE LEGANES,240,Javier Pascau González-Garzón
MASTER EN INGENIERIA CIRCULAR,Ingeniería y Arquitectura,UC3M,CAMPUS DE LEGANES,60,Alberto García Peñas
GRADO EN ECONOMIA,Ciencias Sociales y Jurídicas,UC3M,CAMPUS DE GETAFE,240,Ignacio Ortuño-Ortín
GRADO EN CIENCIAS POLITICAS,Ciencias Sociales y Jurídicas,UC3M,CAMPUS DE GETAFE,240,Gema María García Albacete
MASTER EN ECONOMIA,Ciencias Sociales y Jurídicas,UC3M,CAMPUS DE GETAFE,60,Felix Wellschmied
GRADO EN INGENIERIA INFORMATICA,Ingeniería y Arquitectura,UC3M,CAMPUS DE COLMENAREJO,240,Valentín Miguel Moreno Pelayo
MASTER EN TRIBUTACION,Ciencias Sociales y Jurídicas,UC3M,CAMPUS DE PUERTA DE TOLEDO,60,Miguel Alonso Gil
